attributed_node_id,transaction_date,transaction_type,transaction_level,channel_code,sku_code,outlet_code,bill_ref,gross_amount,discount_amount,tax_amount,net_amount,quantity,uom,source,external_ref
212224,2025-08-04,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-H0001,800,40,96,760,5,unit,manual_entry,DUMMY-H0001
212224,2025-08-11,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-H0002,800,40,96,760,5,unit,manual_entry,DUMMY-H0002
212224,2025-08-19,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-H0003,800,40,96,760,5,unit,manual_entry,DUMMY-H0003
212224,2025-08-26,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-H0004,800,40,96,760,5,unit,manual_entry,DUMMY-H0004
212224,2025-08-04,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-H0005,920,46,110,874,6,unit,manual_entry,DUMMY-H0005
212224,2025-08-11,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-H0006,920,46,110,874,6,unit,manual_entry,DUMMY-H0006
212224,2025-08-19,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-H0007,920,46,110,874,6,unit,manual_entry,DUMMY-H0007
212224,2025-08-26,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-H0008,920,46,110,874,6,unit,manual_entry,DUMMY-H0008
212224,2025-08-04,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-H0009,1040,52,125,988,7,unit,manual_entry,DUMMY-H0009
212224,2025-08-11,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-H0010,1040,52,125,988,7,unit,manual_entry,DUMMY-H0010
212224,2025-08-19,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-H0011,1040,52,125,988,7,unit,manual_entry,DUMMY-H0011
212224,2025-08-26,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-H0012,1040,52,125,988,7,unit,manual_entry,DUMMY-H0012
212224,2025-08-04,sale,secondary,GT,SEN-WHITE-75,,DUMMY-BILL-H0013,1160,58,139,1102,8,unit,manual_entry,DUMMY-H0013
212224,2025-08-11,sale,secondary,GT,SEN-WHITE-75,,DUMMY-BILL-H0014,1160,58,139,1102,8,unit,manual_entry,DUMMY-H0014
212224,2025-08-19,sale,secondary,GT,SEN-WHITE-75,,DUMMY-BILL-H0015,1160,58,139,1102,8,unit,manual_entry,DUMMY-H0015
212224,2025-08-26,sale,secondary,GT,SEN-WHITE-75,,DUMMY-BILL-H0016,1160,58,139,1102,8,unit,manual_entry,DUMMY-H0016
212225,2025-08-04,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-H0017,1150,58,138,1092,6,unit,manual_entry,DUMMY-H0017
212225,2025-08-11,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-H0018,1150,58,138,1092,6,unit,manual_entry,DUMMY-H0018
212225,2025-08-19,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-H0019,1150,58,138,1092,6,unit,manual_entry,DUMMY-H0019
212225,2025-08-26,sale,secondary,GT,ENO-REG-5G,,DUMMY-BILL-H0020,1150,58,138,1092,6,unit,manual_entry,DUMMY-H0020
212225,2025-08-04,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-H0021,1270,64,152,1206,7,unit,manual_entry,DUMMY-H0021
212225,2025-08-11,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-H0022,1270,64,152,1206,7,unit,manual_entry,DUMMY-H0022
212225,2025-08-19,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-H0023,1270,64,152,1206,7,unit,manual_entry,DUMMY-H0023
212225,2025-08-26,sale,secondary,GT,SEN-FRESH-75,,DUMMY-BILL-H0024,1270,64,152,1206,7,unit,manual_entry,DUMMY-H0024
212225,2025-08-04,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-H0025,1390,70,167,1320,8,unit,manual_entry,DUMMY-H0025
212225,2025-08-11,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-H0026,1390,70,167,1320,8,unit,manual_entry,DUMMY-H0026
212225,2025-08-19,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-H0027,1390,70,167,1320,8,unit,manual_entry,DUMMY-H0027
212225,2025-08-26,sale,secondary,GT,CRO-ADV-15,,DUMMY-BILL-H0028,1390,70,167,1320,8,unit,manual_entry,DUMMY-H0028
212225,2025-08-04,sale,secondary,GT,SEN-WHITE-75,,DUMMY-BILL-H0029,1510,76,181,1434,9,unit,manual_entry,DUMMY-H0029
212225,2025-08-11,sale,secondary,GT,SEN-WHITE-75,,DUMMY-BILL-H0030,1510,76,181,1434,9,unit,manual_entry,DUMMY-H0030
